id,model,prefix,baseline_label,prefix_label,outcome,curvature_score,oppositeness_score,density,centrality
borderline_fake_23,mixtral-8x7b,cot_verification,2,2,still_broken,,,,
borderline_fake_24,mixtral-8x7b,cot_verification,0,2,regressed,,,,
borderline_fake_27,mixtral-8x7b,cot_verification,2,3,fixed,,,,
borderline_fake_28,mixtral-8x7b,cot_verification,0,2,regressed,,,,
borderline_fake_29,mixtral-8x7b,cot_verification,2,2,still_broken,,,,
borderline_fake_30,mixtral-8x7b,cot_verification,2,0,fixed,,,,
borderline_fake_31,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_fake_32,mixtral-8x7b,cot_verification,2,0,fixed,,,,
borderline_fake_33,mixtral-8x7b,cot_verification,2,2,still_broken,,,,
borderline_fake_34,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_0,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_1,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_2,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_3,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_4,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_5,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_6,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_7,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_8,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_9,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_10,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_11,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_12,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_13,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_14,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_15,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_16,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_17,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_18,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
borderline_edge_19,mixtral-8x7b,cot_verification,0,0,already_correct,,,,
factual_001,mixtral-8x7b,cot_verification,2,3,fixed,0.3390698482009572,0.4258317670548038,1.383397835699358,0.8319429930204049
factual_002,mixtral-8x7b,cot_verification,0,3,already_correct,1.1102230246251563e-16,0.3671381095938628,1.542750285528084,0.7310246140998413
factual_003,mixtral-8x7b,cot_verification,0,0,already_correct,0.0756442551152993,0.4801142226197014,1.624794773575251,0.755998273251816
factual_004,mixtral-8x7b,cot_verification,1,1,other,0.0,0.4091090586541112,1.456805708543466,0.6993882164910686
factual_005,mixtral-8x7b,cot_verification,3,3,other,0.701730912788892,0.5021843521531819,1.7011396195193464,0.631399119430105
factual_006,mixtral-8x7b,cot_verification,0,1,already_correct,0.3259960846208846,0.463198484824823,1.6399415228618777,0.7872932102035252
factual_007,mixtral-8x7b,cot_verification,1,3,other,0.2091951151053356,0.4128652483638895,1.5903660763514311,0.7465407015315013
factual_008,mixtral-8x7b,cot_verification,0,0,already_correct,0.2037090540592256,0.468512958130906,1.6390644859640455,0.7686338531644856
factual_009,mixtral-8x7b,cot_verification,1,3,other,0.853848090543631,0.4151502834613091,1.6498944144090766,0.6572635505963973
factual_010,mixtral-8x7b,cot_verification,0,0,already_correct,0.232918055860813,0.5099705765787288,1.4726113798083318,0.7977554962414828
factual_011,mixtral-8x7b,cot_verification,3,3,other,0.6355284519294534,0.4036154541062687,1.7162440503449623,0.6860809940271048
factual_012,mixtral-8x7b,cot_verification,0,0,already_correct,0.08768981332469,0.3617398426203926,2.1728592401910753,0.7799865642706615
factual_013,mixtral-8x7b,cot_verification,1,1,other,0.5587325104078119,0.4151817642436208,1.5180539170053302,0.7282876276517176
factual_014,mixtral-8x7b,cot_verification,0,1,already_correct,0.6638246094684089,0.3553819706965982,2.1996388726934804,0.7761234665442845
factual_015,mixtral-8x7b,cot_verification,1,3,other,0.1297030895398097,0.3991916513629209,1.4328530668641868,0.7704209428355229
factual_016,mixtral-8x7b,cot_verification,0,0,already_correct,0.0621903996737486,0.4616666102107748,1.586809125161253,0.7543118897692439
factual_017,mixtral-8x7b,cot_verification,0,0,already_correct,0.1522014106797664,0.443350120005155,1.3893387081191293,0.7864701848631095
factual_018,mixtral-8x7b,cot_verification,0,0,already_correct,0.3992775109347958,0.4174074519253169,1.483890317654831,0.7521987718089467
factual_019,mixtral-8x7b,cot_verification,0,0,already_correct,0.570304218688948,0.4979737230271303,1.4626267777593926,0.8054669229845892
factual_020,mixtral-8x7b,cot_verification,1,3,other,0.3516206758576254,0.3763613439841432,1.611047325255963,0.7185921891940295
factual_021,mixtral-8x7b,cot_verification,0,0,already_correct,0.6527801569546965,0.4180078612342092,1.4350551741860758,0.7225185823687947
factual_022,mixtral-8x7b,cot_verification,0,0,already_correct,0.1783344385302553,0.3672437094222894,2.117486252547943,0.7833564590952354
factual_023,mixtral-8x7b,cot_verification,1,3,other,0.1352864691345792,0.4016135193900492,1.649187144559479,0.7067573427577292
factual_024,mixtral-8x7b,cot_verification,3,3,other,0.4975689892409519,0.4447017810950163,1.5171197273637569,0.713587560930383
factual_025,mixtral-8x7b,cot_verification,1,3,other,0.0,0.3980743483955428,1.6433910358883772,0.7367057649170274
factual_026,mixtral-8x7b,cot_verification,1,0,other,-2.220446049250313e-16,0.309447624007505,1.4760212348272164,0.8351255628104022
factual_027,mixtral-8x7b,cot_verification,0,0,already_correct,1.1102230246251563e-16,0.4080458109181683,1.4764124571822654,0.7593912020536738
factual_028,mixtral-8x7b,cot_verification,0,0,already_correct,0.1356920640120937,0.4393622371282437,1.649946639222292,0.7485870160062343
factual_029,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.4977641369133579,1.4952019816184945,0.8305814312917218
factual_030,mixtral-8x7b,cot_verification,0,3,already_correct,0.7127292906743794,0.472656698084123,1.5989159658219183,0.6705712402368056
factual_031,mixtral-8x7b,cot_verification,0,0,already_correct,0.4314744393813291,0.4501789895715146,1.4405047447566357,0.7918370107882089
factual_032,mixtral-8x7b,cot_verification,1,3,other,0.0,0.4060071654329528,1.514936114087026,0.7245722802366368
factual_033,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.5017394875876153,1.546885661918044,0.8087152173946708
factual_034,mixtral-8x7b,cot_verification,0,0,already_correct,0.6081839654868795,0.5232130866441007,1.4683546340768272,0.7915399581256456
factual_035,mixtral-8x7b,cot_verification,0,0,already_correct,0.4271616887496303,0.4876412851028002,1.5377929180335528,0.7756829976016371
factual_036,mixtral-8x7b,cot_verification,0,0,already_correct,0.1261866985503336,0.3244414575107672,1.5245649525106562,0.8273038597662479
factual_037,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.3147422473558741,1.5672190155056889,0.7206514156979043
factual_038,mixtral-8x7b,cot_verification,2,2,still_broken,0.0,0.4211484740263029,1.3771096527279183,0.8661372673645562
factual_039,mixtral-8x7b,cot_verification,3,0,other,0.177078731748155,0.4046827470446055,1.497245204967567,0.6446426131783606
factual_040,mixtral-8x7b,cot_verification,0,1,already_correct,-2.220446049250313e-16,0.3414680534651442,2.4910222200547074,0.737480424854035
factual_041,mixtral-8x7b,cot_verification,0,0,already_correct,0.6590282271990809,0.4413968529615208,1.4390743196603273,0.7699239301662081
factual_042,mixtral-8x7b,cot_verification,0,0,already_correct,0.8096019744024965,0.4545800688847466,1.6252229539662026,0.7989216578285829
factual_043,mixtral-8x7b,cot_verification,0,3,already_correct,0.1106474559626835,0.4682907741308082,1.546374825705338,0.797005081645074
factual_044,mixtral-8x7b,cot_verification,0,0,already_correct,0.2496274882844138,0.4826722402390526,1.4448395314471096,0.7926729701723823
factual_045,mixtral-8x7b,cot_verification,0,0,already_correct,0.3910302967543626,0.4762882153821701,1.451296329281991,0.7940873301226171
factual_046,mixtral-8x7b,cot_verification,0,0,already_correct,0.3909013784101188,0.4831296148411537,1.3766308979634674,0.7957830463075242
factual_047,mixtral-8x7b,cot_verification,0,0,already_correct,0.4080816131732503,0.3346997209064156,2.496140320144274,0.7613314728939098
factual_048,mixtral-8x7b,cot_verification,2,0,fixed,0.6211373159127278,0.442478820203474,1.64858837863659,0.789738065303002
factual_049,mixtral-8x7b,cot_verification,1,3,other,0.7052676924968719,0.5047896404943268,1.6764719459937247,0.6353803272121445
factual_050,mixtral-8x7b,cot_verification,3,3,other,0.8177822094666237,0.4325966950899802,1.605637013732773,0.6860979834111427
factual_051,mixtral-8x7b,cot_verification,0,3,already_correct,0.4856820367671054,0.4445014726564936,1.5978639282844784,0.6700823419876167
factual_052,mixtral-8x7b,cot_verification,0,0,already_correct,0.2588180790601095,0.4907653095180171,1.5672965779117558,0.7538454712736763
factual_053,mixtral-8x7b,cot_verification,2,2,still_broken,0.3459381505484974,0.4008120746180286,1.3829706679702791,0.8203197763151169
factual_054,mixtral-8x7b,cot_verification,2,0,fixed,2.220446049250313e-16,0.3674563684053866,1.3647406575165009,0.7838035822067071
factual_055,mixtral-8x7b,cot_verification,0,0,already_correct,0.5494506790999643,0.4252726172935853,1.478079942331184,0.7747870351215546
factual_056,mixtral-8x7b,cot_verification,0,0,already_correct,0.2539817160958447,0.4450391397394795,1.4632676163200211,0.7667842126110449
factual_057,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.3978971698173434,1.453501272284534,0.7812083645803997
factual_058,mixtral-8x7b,cot_verification,0,0,already_correct,0.2095405375742327,0.5111534489258107,1.5430189490603494,0.8232970349963812
factual_059,mixtral-8x7b,cot_verification,0,0,already_correct,0.3699076605808898,0.2896543084979006,1.4772908783384575,0.7960505597584258
factual_060,mixtral-8x7b,cot_verification,0,0,already_correct,0.7099132644629002,0.5105063433676238,1.415749810693637,0.8558493626016794
factual_061,mixtral-8x7b,cot_verification,0,0,already_correct,2.220446049250313e-16,0.4819275257171794,1.501545009538279,0.7979848304214872
factual_062,mixtral-8x7b,cot_verification,0,0,already_correct,0.3387145971543948,0.4738592572936945,1.4166794254788595,0.8233539805586463
factual_063,mixtral-8x7b,cot_verification,0,0,already_correct,0.6365540150039888,0.4269955459015017,1.5280710244608426,0.7143697392221002
factual_064,mixtral-8x7b,cot_verification,0,0,already_correct,0.5922619222704957,0.3018866463373968,1.4603186455188824,0.8220882818069783
factual_065,mixtral-8x7b,cot_verification,0,0,already_correct,0.1128744609388492,0.3407672513109081,2.070468063091321,0.7374627770235378
factual_066,mixtral-8x7b,cot_verification,0,0,already_correct,0.1900235496338574,0.503458426875032,1.4324307182167868,0.8095817527009933
factual_067,mixtral-8x7b,cot_verification,0,0,already_correct,0.4748283421565603,0.4142539887401134,1.4732365393388285,0.7979292272466194
factual_068,mixtral-8x7b,cot_verification,0,0,already_correct,0.0639272631090749,0.3510497420817116,2.3556922148236583,0.7631016457391149
factual_069,mixtral-8x7b,cot_verification,0,0,already_correct,0.5181413802399217,0.4553498762964384,1.606172484932409,0.7888276761457962
factual_070,mixtral-8x7b,cot_verification,0,0,already_correct,0.1117010549366074,0.3703280439605724,1.8385235083809184,0.7902572804385989
factual_071,mixtral-8x7b,cot_verification,0,0,already_correct,0.3523509046120336,0.5017514427116267,1.506904467763912,0.8128678303414758
factual_072,mixtral-8x7b,cot_verification,0,0,already_correct,0.1926927217111285,0.3575782828311282,2.052706263150836,0.7867627154094793
factual_073,mixtral-8x7b,cot_verification,0,0,already_correct,0.3366527554593764,0.3560932709599926,1.8814618137714167,0.8112673307261143
factual_074,mixtral-8x7b,cot_verification,2,0,fixed,0.6304310634975547,0.3884602880899718,1.486769258226069,0.7831299629453908
factual_075,mixtral-8x7b,cot_verification,0,0,already_correct,1.1102230246251563e-16,0.5018524787912563,1.520063619021078,0.7990751099204498
factual_076,mixtral-8x7b,cot_verification,1,0,other,0.5900770287315599,0.3669007903011599,1.419601129895851,0.755357546080865
factual_077,mixtral-8x7b,cot_verification,0,0,already_correct,3.3306690738754696e-16,0.4003005515850812,1.3862081007025076,0.8152530270212486
factual_078,mixtral-8x7b,cot_verification,0,0,already_correct,1.1102230246251563e-16,0.5051220359781636,1.4570154481027626,0.808027167838611
factual_079,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.3487148893477196,2.27657210305503,0.7800840971199191
factual_080,mixtral-8x7b,cot_verification,0,0,already_correct,0.5175730124359599,0.2895453626919549,1.477225335209429,0.8115261311321036
factual_081,mixtral-8x7b,cot_verification,0,0,already_correct,0.1012554620345593,0.4328614718772041,1.3507097741310654,0.8362269260064743
factual_082,mixtral-8x7b,cot_verification,0,0,already_correct,-2.220446049250313e-16,0.3373139951597824,2.0354023865462363,0.7548743531801294
factual_083,mixtral-8x7b,cot_verification,0,0,already_correct,1.1102230246251563e-16,0.4679765550289769,1.4512844040683364,0.7974902815995142
factual_084,mixtral-8x7b,cot_verification,0,0,already_correct,0.0873858389472691,0.356731544150184,1.884260342664908,0.8235908886889827
factual_085,mixtral-8x7b,cot_verification,0,0,already_correct,-2.220446049250313e-16,0.4924453090325872,1.6060426147927964,0.758906445296362
factual_086,mixtral-8x7b,cot_verification,1,0,other,0.806081801684519,0.3458666117576172,2.0156784313857306,0.8087802765551547
factual_087,mixtral-8x7b,cot_verification,0,0,already_correct,0.5558699241037635,0.418235810908836,1.428998031152279,0.838896372111011
factual_088,mixtral-8x7b,cot_verification,0,0,already_correct,0.2333428271170836,0.3934658100064162,1.465304295968953,0.7830320061798703
factual_089,mixtral-8x7b,cot_verification,0,0,already_correct,0.668761632601216,0.5136980177126386,1.4991079933172302,0.8010776930231761
factual_090,mixtral-8x7b,cot_verification,0,0,already_correct,-2.220446049250313e-16,0.4635935923083798,1.4173488710208413,0.8137413115784311
factual_091,mixtral-8x7b,cot_verification,0,0,already_correct,0.3814291512015367,0.475664023604871,1.3936260572592174,0.8450265988684978
factual_092,mixtral-8x7b,cot_verification,0,0,already_correct,1.1102230246251563e-16,0.4833001715292726,1.409955852156895,0.7710239748280108
factual_093,mixtral-8x7b,cot_verification,0,0,already_correct,0.0058858111161878,0.3460475600916803,2.3507409980528458,0.771903298359765
factual_094,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.3419792874368186,2.076048546434794,0.7869229786519517
factual_095,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.454446304442836,1.6077006245745566,0.7891477636161054
factual_096,mixtral-8x7b,cot_verification,0,0,already_correct,-2.220446049250313e-16,0.3430834906900136,2.0974092363572936,0.7780574232390709
factual_097,mixtral-8x7b,cot_verification,0,0,already_correct,0.1933373330263507,0.3472492097743691,2.1468875447425866,0.8008670767765944
factual_098,mixtral-8x7b,cot_verification,0,0,already_correct,0.1946058820058216,0.3592082545940397,2.187610416506546,0.7161179857994848
impossible_001,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.4284789178593438,1.3647315671430038,0.8173245508833905
impossible_002,mixtral-8x7b,cot_verification,0,0,already_correct,0.1925003012804915,0.4396589807744273,1.4400179462563576,0.7689164062010384
impossible_003,mixtral-8x7b,cot_verification,0,0,already_correct,0.3041079336142306,0.4745776345517306,1.5647300163614537,0.6969380899420593
impossible_004,mixtral-8x7b,cot_verification,0,0,already_correct,0.3074015199966582,0.4454880922352143,1.458411279508117,0.7008940148293222
impossible_005,mixtral-8x7b,cot_verification,0,0,already_correct,0.5348686529869204,0.4778804885323092,1.5571238857869047,0.5928068096228768
impossible_006,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.3150933902050303,1.44914888839206,0.7424336900914429
impossible_007,mixtral-8x7b,cot_verification,0,0,already_correct,0.0760181053446082,0.4283067881602623,1.5733228037355471,0.6215082050686007
impossible_008,mixtral-8x7b,cot_verification,0,0,already_correct,2.220446049250313e-16,0.4589631985402678,1.4780617824844742,0.6774152573684572
impossible_009,mixtral-8x7b,cot_verification,0,0,already_correct,0.1249390917114745,0.3118504227910957,1.43227288011093,0.7238138878895117
impossible_010,mixtral-8x7b,cot_verification,0,0,already_correct,1.1102230246251563e-16,0.3666893394761781,1.3883202835937618,0.7648042512578479
impossible_011,mixtral-8x7b,cot_verification,0,0,already_correct,0.6570046720548636,0.4878757339388605,1.606294091488777,0.6475217814214653
impossible_012,mixtral-8x7b,cot_verification,0,0,already_correct,0.3881410451718331,0.4235035315207365,1.5279960497361569,0.6620432260206898
impossible_013,mixtral-8x7b,cot_verification,0,0,already_correct,0.367171031876069,0.4485257442853096,1.4305640589961452,0.7090608744629913
impossible_014,mixtral-8x7b,cot_verification,0,0,already_correct,0.304387963775812,0.4766921393628873,1.5886968038209053,0.6036803376122305
impossible_015,mixtral-8x7b,cot_verification,0,0,already_correct,0.1445833902033999,0.4535491798602405,1.3948250469146637,0.7345084218910429
impossible_016,mixtral-8x7b,cot_verification,0,0,already_correct,0.3695204607283343,0.4770769095741097,1.468249801349997,0.7287548863456212
impossible_017,mixtral-8x7b,cot_verification,0,0,already_correct,1.1102230246251563e-16,0.385438073138071,1.3476026514497093,0.709421966154461
impossible_018,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.4512168499635118,1.469118684012558,0.7333250355902713
impossible_019,mixtral-8x7b,cot_verification,0,0,already_correct,0.6948227806005108,0.3969968770339099,1.4634214021984335,0.6949529191130599
impossible_020,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.4752509211435867,1.303120271345749,0.8113480057164546
impossible_021,mixtral-8x7b,cot_verification,0,0,already_correct,0.6847774947219638,0.4431305143455964,1.4181748812695176,0.672847509017385
impossible_022,mixtral-8x7b,cot_verification,0,0,already_correct,-2.220446049250313e-16,0.3520010654438289,1.4639729737187956,0.7241808216844288
impossible_023,mixtral-8x7b,cot_verification,0,0,already_correct,3.3306690738754696e-16,0.455889330351273,1.4344927170928583,0.7930420973301907
impossible_024,mixtral-8x7b,cot_verification,0,0,already_correct,0.8644938403979362,0.4082023102283143,1.4271735443184168,0.7753947228954897
impossible_025,mixtral-8x7b,cot_verification,0,0,already_correct,0.7333388588522243,0.3785684530811432,1.4244542885042928,0.7235396087514101
impossible_026,mixtral-8x7b,cot_verification,0,0,already_correct,0.8640442510880024,0.3975716398225351,1.4109313497671825,0.7797697609927278
impossible_027,mixtral-8x7b,cot_verification,0,0,already_correct,0.7105278016919148,0.4247105743564808,1.4385519582650963,0.6971456827575261
impossible_028,mixtral-8x7b,cot_verification,0,0,already_correct,0.4309963868988636,0.4196514921035555,1.5398167790911867,0.6362163799506999
impossible_029,mixtral-8x7b,cot_verification,0,0,already_correct,0.1257851711933711,0.4600169891009289,1.458718882930412,0.7963664184013529
impossible_030,mixtral-8x7b,cot_verification,0,0,already_correct,0.8020508056844807,0.4030046415686885,1.4198247172073906,0.7242645544496362
nonexistent_001,mixtral-8x7b,cot_verification,0,0,already_correct,0.0454428209205745,0.4570250522860282,1.615715817569476,0.6594531936841832
nonexistent_002,mixtral-8x7b,cot_verification,0,0,already_correct,0.4677381953787014,0.4807812336471663,1.9384404475051296,0.6586584120072059
nonexistent_003,mixtral-8x7b,cot_verification,2,2,still_broken,1.1102230246251563e-16,0.4276243627057265,1.5094994460630982,0.6937800151786704
nonexistent_004,mixtral-8x7b,cot_verification,0,0,already_correct,-2.220446049250313e-16,0.4564137144815087,1.851797884385934,0.5726994262069951
nonexistent_005,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.465822997116629,1.8623172596233903,0.6509377288126535
nonexistent_006,mixtral-8x7b,cot_verification,2,2,still_broken,0.0,0.5029321806753635,1.5509796102552418,0.6790876172544247
nonexistent_007,mixtral-8x7b,cot_verification,2,0,fixed,0.5911705809667317,0.4384180276510528,2.1493553401106253,0.6484046155692724
nonexistent_008,mixtral-8x7b,cot_verification,0,0,already_correct,0.0957750557052731,0.384685691724981,2.399391497385759,0.5396505391719605
nonexistent_009,mixtral-8x7b,cot_verification,0,0,already_correct,0.4385653332026844,0.4761348024669491,1.963117468304936,0.6151337027863505
nonexistent_010,mixtral-8x7b,cot_verification,0,0,already_correct,0.5158505587176638,0.4476063807965523,1.8334121656816305,0.6639503111744578
nonexistent_011,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.4183605627704306,1.8233726758969768,0.6008289869583918
nonexistent_012,mixtral-8x7b,cot_verification,2,0,fixed,0.0,0.3282147135021206,1.6967845457280517,0.7164932747542667
nonexistent_013,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.6334931482875634,3.234875388204,0.5542865449529822
nonexistent_014,mixtral-8x7b,cot_verification,1,0,other,0.0,0.4130129249322228,1.8320968749483288,0.5693820791961997
nonexistent_015,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.374969051477136,1.4898031777136556,0.6910299677931582
nonexistent_016,mixtral-8x7b,cot_verification,2,0,fixed,0.2805045218348615,0.5910803578233195,2.732910152966596,0.6001690613713271
nonexistent_017,mixtral-8x7b,cot_verification,0,0,already_correct,0.5302974421282072,0.4651336536553984,1.7342393214203522,0.6404096140823191
nonexistent_018,mixtral-8x7b,cot_verification,0,0,already_correct,0.3342446558250019,0.489726295593314,1.848305485089209,0.6699256292861111
nonexistent_019,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.5808501293560877,2.844296976941338,0.5523783938073688
nonexistent_020,mixtral-8x7b,cot_verification,0,0,already_correct,0.5115517775867039,0.4732462382721614,1.993442159482999,0.6708993438546399
nonexistent_021,mixtral-8x7b,cot_verification,0,0,already_correct,0.5574498399007891,0.4421586669851266,1.7331138624020443,0.629479369950903
nonexistent_022,mixtral-8x7b,cot_verification,0,0,already_correct,0.6337578213026309,0.5115894791801593,2.003651681231058,0.560773997383176
nonexistent_023,mixtral-8x7b,cot_verification,2,0,fixed,0.3568558343007325,0.3539184574866522,2.4073431465037234,0.6145784425889566
nonexistent_024,mixtral-8x7b,cot_verification,0,0,already_correct,1.1102230246251563e-16,0.5091116721181774,2.015018677082794,0.6064807709590798
nonexistent_025,mixtral-8x7b,cot_verification,0,0,already_correct,1.1102230246251563e-16,0.4263605809857247,1.385281679632341,0.7504628298669417
nonexistent_026,mixtral-8x7b,cot_verification,2,2,still_broken,0.0975577827163954,0.500677276446372,1.877240963729926,0.6862876200297774
nonexistent_027,mixtral-8x7b,cot_verification,0,0,already_correct,0.6873397586664541,0.5831425659305403,2.194423208872275,0.439598850196002
nonexistent_028,mixtral-8x7b,cot_verification,0,0,already_correct,0.5810363014954536,0.4748582757943949,1.5307392572882974,0.7431710443416528
nonexistent_029,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.3689495032061506,2.4195365373037796,0.5486947156478663
nonexistent_030,mixtral-8x7b,cot_verification,0,0,already_correct,0.6736730288677727,0.5520334085147902,1.8682348773229904,0.698702271143901
nonexistent_031,mixtral-8x7b,cot_verification,2,0,fixed,0.3281983558312015,0.5368106658137504,2.307223853167116,0.6242041309939212
nonexistent_032,mixtral-8x7b,cot_verification,0,0,already_correct,0.539372510742057,0.3829378402034553,2.7346886215316357,0.5559429890739753
nonexistent_033,mixtral-8x7b,cot_verification,0,0,already_correct,0.5757749954802136,0.5837106417413707,1.8593737943376472,0.6640875742086295
nonexistent_034,mixtral-8x7b,cot_verification,0,0,already_correct,0.4187105756418797,0.6038574964801048,2.3099387615258946,0.5853326755318425
nonexistent_035,mixtral-8x7b,cot_verification,0,0,already_correct,0.0,0.5205105768308945,1.805052905184283,0.6704744389494379
nonexistent_036,mixtral-8x7b,cot_verification,0,0,already_correct,3.3306690738754696e-16,0.4689086948310491,1.8339277076756957,0.6048819095183796
nonexistent_037,mixtral-8x7b,cot_verification,0,0,already_correct,0.3540607959987495,0.4891591393930209,1.5779747684754617,0.6807964102588424
