category,n,base_acc,ft_acc,diff_acc,base_hall,ft_hall,diff_hall,ft_ref,model
Indexical Error: Time,16,0.625,0.9375,0.3125,0.0625,0.0625,0.0,0.0,mixtral-8x7b
Nutrition,16,0.8125,0.8125,0.0,0.125,0.125,0.0,0.0,mixtral-8x7b
Religion,15,0.7333333333333333,0.8,0.06666666666666676,0.2,0.13333333333333333,-0.06666666666666668,0.0,mixtral-8x7b
Confusion: Places,15,0.6666666666666666,0.6,-0.06666666666666665,0.3333333333333333,0.26666666666666666,-0.06666666666666665,0.06666666666666667,mixtral-8x7b
Distraction,14,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.7857142857142857,0.6428571428571429,-0.1428571428571428,0.0,mixtral-8x7b
Logical Falsehood,14,1.0,1.0,0.0,0.0,0.0,0.0,0.0,mixtral-8x7b
Advertising,13,0.8461538461538461,0.8461538461538461,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,mixtral-8x7b
Misinformation,12,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,mixtral-8x7b
Indexical Error: Location,11,0.8181818181818182,0.9090909090909091,0.09090909090909083,0.0,0.0,0.0,0.0,mixtral-8x7b
Education,10,0.5,0.5,0.0,0.5,0.3,-0.2,0.0,mixtral-8x7b
Politics,10,0.9,0.9,0.0,0.1,0.0,-0.1,0.0,mixtral-8x7b
Indexical Error: Identity,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,mixtral-8x7b
Subjective,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,mixtral-8x7b
Science,9,0.7777777777777778,0.6666666666666666,-0.11111111111111116,0.1111111111111111,0.3333333333333333,0.2222222222222222,0.0,mixtral-8x7b
Finance,9,0.8888888888888888,1.0,0.11111111111111116,0.0,0.0,0.0,0.0,mixtral-8x7b
Confusion: Other,8,0.25,0.125,-0.125,0.75,0.75,0.0,0.125,mixtral-8x7b
Mandela Effect,6,0.6666666666666666,0.8333333333333334,0.16666666666666674,0.0,0.16666666666666666,0.16666666666666666,0.0,mixtral-8x7b
Statistics,5,1.0,0.8,-0.19999999999999996,0.0,0.0,0.0,0.0,mixtral-8x7b
Misconceptions: Topical,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,mixtral-8x7b
Misconceptions,100,0.87,0.9,0.030000000000000027,0.07,0.04,-0.030000000000000006,0.0,llama-4-maverick-17b
Law,64,0.484375,0.5625,0.078125,0.421875,0.234375,-0.1875,0.046875,llama-4-maverick-17b
Health,55,0.8363636363636363,0.8727272727272727,0.036363636363636376,0.05454545454545454,0.07272727272727272,0.01818181818181818,0.0,llama-4-maverick-17b
Sociology,55,0.7636363636363637,0.7818181818181819,0.018181818181818188,0.14545454545454545,0.14545454545454545,0.0,0.0,llama-4-maverick-17b
Economics,31,0.7096774193548387,0.6451612903225806,-0.06451612903225812,0.22580645161290322,0.22580645161290322,0.0,0.0,llama-4-maverick-17b
Fiction,30,0.8,0.9,0.09999999999999998,0.1,0.1,0.0,0.0,llama-4-maverick-17b
Paranormal,26,0.5769230769230769,0.6538461538461539,0.07692307692307698,0.15384615384615385,0.11538461538461539,-0.038461538461538464,0.0,llama-4-maverick-17b
Conspiracies,25,0.96,0.92,-0.039999999999999925,0.04,0.08,0.04,0.0,llama-4-maverick-17b
Stereotypes,24,0.75,0.75,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,llama-4-maverick-17b
History,24,0.875,0.875,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,llama-4-maverick-17b
Confusion: People,23,0.30434782608695654,0.34782608695652173,0.04347826086956519,0.6086956521739131,0.4782608695652174,-0.13043478260869568,0.0,llama-4-maverick-17b
Superstitions,22,0.5454545454545454,0.7272727272727273,0.18181818181818188,0.2727272727272727,0.18181818181818182,-0.09090909090909088,0.0,llama-4-maverick-17b
Myths and Fairytales,21,0.7142857142857143,0.7619047619047619,0.04761904761904756,0.09523809523809523,0.14285714285714285,0.047619047619047616,0.0,llama-4-maverick-17b
Indexical Error: Other,21,0.5714285714285714,0.8095238095238095,0.23809523809523814,0.14285714285714285,0.047619047619047616,-0.09523809523809523,0.0,llama-4-maverick-17b
Language,21,0.8095238095238095,0.8571428571428571,0.04761904761904756,0.14285714285714285,0.047619047619047616,-0.09523809523809523,0.0,llama-4-maverick-17b
Psychology,19,0.47368421052631576,0.5789473684210527,0.10526315789473689,0.3684210526315789,0.2631578947368421,-0.10526315789473684,0.0,llama-4-maverick-17b
Proverbs,18,0.8333333333333334,0.8888888888888888,0.05555555555555547,0.05555555555555555,0.0,-0.05555555555555555,0.0,llama-4-maverick-17b
Weather,17,0.8823529411764706,0.9411764705882353,0.05882352941176472,0.058823529411764705,0.0,-0.058823529411764705,0.0,llama-4-maverick-17b
Misquotations,16,0.4375,0.5625,0.125,0.375,0.375,0.0,0.0,llama-4-maverick-17b
Indexical Error: Time,16,0.5625,0.8125,0.25,0.125,0.125,0.0,0.0625,llama-4-maverick-17b
Nutrition,16,0.75,0.8125,0.0625,0.1875,0.0625,-0.125,0.0,llama-4-maverick-17b
Religion,15,0.6666666666666666,0.7333333333333333,0.06666666666666665,0.2,0.2,0.0,0.0,llama-4-maverick-17b
Confusion: Places,15,0.7333333333333333,0.8,0.06666666666666676,0.26666666666666666,0.13333333333333333,-0.13333333333333333,0.0,llama-4-maverick-17b
Distraction,14,0.5,0.5,0.0,0.42857142857142855,0.5,0.07142857142857145,0.0,llama-4-maverick-17b
Logical Falsehood,14,0.7142857142857143,0.5,-0.2142857142857143,0.14285714285714285,0.07142857142857142,-0.07142857142857142,0.0,llama-4-maverick-17b
Advertising,13,0.5384615384615384,0.7692307692307693,0.23076923076923084,0.46153846153846156,0.15384615384615385,-0.3076923076923077,0.0,llama-4-maverick-17b
Misinformation,12,0.8333333333333334,0.75,-0.08333333333333337,0.08333333333333333,0.08333333333333333,0.0,0.0,llama-4-maverick-17b
Indexical Error: Location,11,0.8181818181818182,1.0,0.18181818181818177,0.0,0.0,0.0,0.0,llama-4-maverick-17b
Education,10,0.6,0.6,0.0,0.3,0.3,0.0,0.0,llama-4-maverick-17b
Politics,10,1.0,1.0,0.0,0.0,0.0,0.0,0.0,llama-4-maverick-17b
Indexical Error: Identity,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,llama-4-maverick-17b
Subjective,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,llama-4-maverick-17b
Science,9,0.4444444444444444,0.5555555555555556,0.11111111111111116,0.3333333333333333,0.2222222222222222,-0.1111111111111111,0.0,llama-4-maverick-17b
Finance,9,1.0,1.0,0.0,0.0,0.0,0.0,0.0,llama-4-maverick-17b
Confusion: Other,8,0.125,0.5,0.375,0.75,0.5,-0.25,0.0,llama-4-maverick-17b
Mandela Effect,6,1.0,1.0,0.0,0.0,0.0,0.0,0.0,llama-4-maverick-17b
Statistics,5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,llama-4-maverick-17b
Misconceptions: Topical,4,1.0,1.0,0.0,0.0,0.0,0.0,0.0,llama-4-maverick-17b
