entity,subset,n_primary_prompts,mean_p_hat_llama,mean_p_hat_gptoss,model_gap,risk_flags,impact,verdict,note,uids
Sir Alistair Fenchurch,people,3,0.0,0.417,0.417,UNVERIFIABLE-AS-FAKE: human name,1.25,,,pool:borderline_fake_136 pool:borderline_fake_53 pool:borderline_fake_91
The Sapphire Coast,places,4,1.0,0.7,-0.3,CONFIRMED-REAL; HIGH-RISK: short toponym,1.2,real,"Real tourism region, New South Wales, Australia. Already known to this repo via scripts/remove_ground_truth_errors.py; that fix only cleaned prompts.jsonl, so it re-entered through the pool top-up.",pool:borderline_fake_107 pool:borderline_fake_149 pool:borderline_fake_46 pool:borderline_fake_87
Dr. Miroslav Drazic,people,2,0.0,0.575,0.575,UNVERIFIABLE-AS-FAKE: human name,1.15,,,pool:borderline_fake_47 pool:borderline_fake_85
The Correspondent: Letters from the Balkan Wars,books,3,0.6,0.983,0.383,,1.15,,,pool:borderline_fake_122 pool:borderline_fake_13 pool:borderline_fake_98
Tales from the Borderlands,books,3,0.683,0.333,-0.35,CONFIRMED-REAL; HIGH-RISK: short title,1.05,real,"Real episodic video game (Telltale Games, 2014), set in the Borderlands franchise.",pool:borderline_fake_140 pool:borderline_fake_78 v3:borderline_fake_15
Ceramic Geometries in the Hollows of Brackwater,books,1,0.0,1.0,1.0,,1.0,,,pool:borderline_fake_48
Dr. Hana Kovarova,people,2,0.1,0.6,0.5,UNVERIFIABLE-AS-FAKE: human name,1.0,,,pool:borderline_fake_6 pool:borderline_fake_71
Professor Dmitri Kalanidze,people,1,0.0,1.0,1.0,UNVERIFIABLE-AS-FAKE: human name,1.0,,,pool:borderline_fake_18
Salt and Stone: A Geologist's Memoir,books,1,0.0,1.0,1.0,,1.0,,,pool:borderline_fake_60
The Asphodel Ledgers: Accounting for the Invisible,books,1,0.0,1.0,1.0,,1.0,,,pool:borderline_fake_28
The Taxidermist's Journal from Greymoon Station,books,1,0.0,1.0,1.0,,1.0,,,pool:borderline_fake_89
Ambassador Priya Chattopadhyay-Nordstrom,people,1,0.05,1.0,0.95,UNVERIFIABLE-AS-FAKE: human name,0.95,,,pool:borderline_fake_97
Dr. Yusuf Abdirahman,people,1,0.0,0.95,0.95,UNVERIFIABLE-AS-FAKE: human name,0.95,,,pool:borderline_fake_124
Hartfall Cove,places,3,0.117,0.433,0.317,HIGH-RISK: short toponym,0.95,,,pool:borderline_fake_101 pool:borderline_fake_52 pool:borderline_fake_90
How Granite Remembers: Geological Memory in the Keston Archives,books,1,0.0,0.95,0.95,,0.95,,,pool:borderline_fake_63
Molten Debris at the Forge-End of Brackthorp,books,1,0.0,0.95,0.95,,0.95,,,pool:borderline_fake_145
Sutherwick,places,1,0.0,0.95,0.95,HIGH-RISK: short toponym,0.95,,,pool:borderline_fake_126
The Calligrapher's Errors: Intentional Mistakes in Thirteenth-Century Manuscripts,books,1,0.05,1.0,0.95,,0.95,,,pool:borderline_fake_72
Ambassador Dariusz Kedzierski,people,1,0.0,0.9,0.9,UNVERIFIABLE-AS-FAKE: human name,0.9,,,pool:borderline_fake_68
Cairn Loch,places,1,0.1,1.0,0.9,HIGH-RISK: short toponym,0.9,,,pool:borderline_fake_23
Dr. Layla Benhaddou,people,2,0.0,0.425,0.425,UNVERIFIABLE-AS-FAKE: human name,0.85,,,pool:borderline_fake_139 pool:borderline_fake_36
Dunhollow,places,1,0.9,0.05,-0.85,HIGH-RISK: short toponym,0.85,,,pool:borderline_fake_14
Professor Naledi Dlamini-Khumalo,people,1,0.05,0.9,0.85,UNVERIFIABLE-AS-FAKE: human name,0.85,,,pool:borderline_fake_94
The Midnight Protocol,books,2,0.525,0.95,0.425,HIGH-RISK: short title,0.85,,,pool:borderline_fake_106 v3:borderline_fake_12
"The Spurious Maps of Aldous Crewes: Navigation, Error, and Intent",books,1,0.0,0.85,0.85,,0.85,,,pool:borderline_fake_66
Toward a Syntax of Rusted Hinges,books,1,0.0,0.85,0.85,,0.85,,,pool:borderline_fake_125
Before the Silence: A Memoir of Language and Forgetting,books,1,0.2,1.0,0.8,,0.8,,,pool:borderline_fake_69
Dr. Priya Subramaniam,people,1,0.05,0.85,0.8,UNVERIFIABLE-AS-FAKE: human name,0.8,,,pool:borderline_fake_15
Halverton,places,1,0.05,0.85,0.8,HIGH-RISK: short toponym,0.8,,,pool:borderline_fake_132
Mount Carroway,places,1,0.1,0.9,0.8,HIGH-RISK: short toponym,0.8,,,pool:borderline_fake_32
The Azure Manuscript,books,2,0.0,0.4,0.4,HIGH-RISK: short title,0.8,,,v3:borderline_fake_22 v3:borderline_fake_31
The Dunmara Coast,places,1,0.0,0.8,0.8,HIGH-RISK: short toponym,0.8,,,pool:borderline_fake_123
The Fallow Straits,places,2,0.1,0.5,0.4,HIGH-RISK: short toponym,0.8,,,pool:borderline_fake_141 pool:borderline_fake_26
The Vermillion Inheritance: The Cloth Merchants of Sildrun,books,1,0.0,0.8,0.8,,0.8,,,pool:borderline_fake_22
General Rajiv Chandrasekharan,people,1,0.0,0.75,0.75,UNVERIFIABLE-AS-FAKE: human name,0.75,,,pool:borderline_fake_39
Professor Lucia Ferreyra,people,1,0.05,0.8,0.75,UNVERIFIABLE-AS-FAKE: human name,0.75,,,pool:borderline_fake_133
Sir Reginald Ashworth-Crane,people,2,0.0,0.375,0.375,UNVERIFIABLE-AS-FAKE: human name,0.75,,,pool:borderline_fake_115 pool:borderline_fake_21
The Lisbon Papers: Dispatches from a Continent in Crisis,books,1,0.25,1.0,0.75,,0.75,,,pool:borderline_fake_137
Dr. Sarah Chen,people,4,0.075,0.25,0.175,UNVERIFIABLE-AS-FAKE: human name,0.7,,,pool:borderline_fake_142 pool:borderline_fake_147 v3:borderline_fake_20 v3:borderline_fake_21
Port Ashford,places,1,0.05,0.75,0.7,HIGH-RISK: short toponym,0.7,,,pool:borderline_fake_129
The Crimson Ledger,books,2,0.575,0.925,0.35,HIGH-RISK: short title,0.7,,,pool:borderline_fake_51 v3:borderline_fake_28
Professor Nikolai Voloshyn,people,1,0.05,0.7,0.65,UNVERIFIABLE-AS-FAKE: human name,0.65,,,pool:borderline_fake_74
"A Stranger's Table: Food, Migration, and Belonging",books,2,0.7,1.0,0.3,,0.6,,,pool:borderline_fake_119 pool:borderline_fake_16
Ambassador Richard Thornton,people,2,0.05,0.35,0.3,UNVERIFIABLE-AS-FAKE: human name,0.6,,,pool:borderline_fake_44 v3:borderline_fake_2
Ambassador Yohannes Tekeste,people,1,0.25,0.85,0.6,UNVERIFIABLE-AS-FAKE: human name,0.6,,,pool:borderline_fake_102
Harlowe Bay,places,1,0.0,0.6,0.6,HIGH-RISK: short toponym,0.6,,,pool:borderline_fake_79
Stonebridge Inlet,places,1,0.0,0.6,0.6,HIGH-RISK: short toponym,0.6,,,pool:borderline_fake_35
Thalmerby Shoals,places,1,0.05,0.65,0.6,HIGH-RISK: short toponym,0.6,,,pool:borderline_fake_11
The Spurious Cartography of Elden Voss,books,1,0.0,0.6,0.6,,0.6,,,pool:borderline_fake_4
Chronicles of the Northern Reach,books,1,0.0,0.55,0.55,,0.55,,,v3:borderline_fake_33
Colonel Dr. Hadrian Czarnecki-Fontaine,people,2,0.025,0.275,0.25,UNVERIFIABLE-AS-FAKE: human name,0.5,,,pool:borderline_fake_0 pool:borderline_fake_41
Crescent Veil Passage,places,2,0.125,0.375,0.25,,0.5,,,pool:borderline_fake_8 pool:borderline_fake_93
The Cartographer's Last Survey,books,1,0.0,0.5,0.5,HIGH-RISK: short title,0.5,,,pool:borderline_fake_37
General Sebastian Villanueva,people,2,0.0,0.225,0.225,UNVERIFIABLE-AS-FAKE: human name,0.45,,,pool:borderline_fake_105 pool:borderline_fake_56
Eastmere,places,1,0.55,0.95,0.4,HIGH-RISK: short toponym,0.4,,,pool:borderline_fake_70
Ellsworth Passage,places,2,0.775,0.975,0.2,HIGH-RISK: short toponym,0.4,,,pool:borderline_fake_38 pool:borderline_fake_64
General Thomas Bradford,people,1,0.45,0.85,0.4,UNVERIFIABLE-AS-FAKE: human name,0.4,,,pool:borderline_fake_99
Portsmith Narrows,places,1,0.25,0.65,0.4,HIGH-RISK: short toponym,0.4,,,pool:borderline_fake_138
Professor Ibrahim Al-Farouqi,people,1,0.55,0.95,0.4,UNVERIFIABLE-AS-FAKE: human name,0.4,,,pool:borderline_fake_9
Crestfield,places,1,0.55,0.9,0.35,HIGH-RISK: short toponym,0.35,,,pool:borderline_fake_144
Riverside Commons,places,1,0.1,0.45,0.35,HIGH-RISK: short toponym,0.35,,,v3:borderline_fake_8
Fernby-on-Sea,places,2,0.0,0.15,0.15,HIGH-RISK: short toponym,0.3,,,pool:borderline_fake_49 pool:borderline_fake_55
Professor Anna Bergstrom,people,1,0.15,0.45,0.3,UNVERIFIABLE-AS-FAKE: human name,0.3,,,pool:borderline_fake_50
Saltwick Cove,places,1,0.2,0.5,0.3,HIGH-RISK: short toponym,0.3,,,pool:borderline_fake_73
Between Thaw and Fieldstone: Rural Architecture of Lesser Dalmark,books,1,0.75,0.95,0.2,,0.2,,,pool:borderline_fake_54
Pelham Sound,places,1,0.8,1.0,0.2,HIGH-RISK: short toponym,0.2,,,pool:borderline_fake_82
Professor Mei-Ling Choudhury,people,2,0.0,0.1,0.1,UNVERIFIABLE-AS-FAKE: human name,0.2,,,pool:borderline_fake_108 pool:borderline_fake_130
Ravenscar Inlet,places,2,0.575,0.675,0.1,HIGH-RISK: short toponym,0.2,,,pool:borderline_fake_114 pool:borderline_fake_96
The Silver Peninsula,places,2,0.325,0.233,-0.092,HIGH-RISK: short toponym,0.184,,,v3:borderline_fake_11 v3:borderline_fake_4
Dr. Maria Rodriguez,people,2,0.075,0.15,0.075,UNVERIFIABLE-AS-FAKE: human name,0.15,,,pool:borderline_fake_127 v3:borderline_fake_17
Professor Catalina Whitmore-Ruiz,people,2,0.0,0.075,0.075,UNVERIFIABLE-AS-FAKE: human name,0.15,,,pool:borderline_fake_62 pool:borderline_fake_77
Cape Morven,places,2,0.525,0.575,0.05,HIGH-RISK: short toponym,0.1,,,pool:borderline_fake_104 pool:borderline_fake_76
Professor Anna Bergström,unknown,1,0.2,0.3,0.1,,0.1,,,v3:borderline_fake_32
The Last Postmaster: A Novel of the Rural American West,books,1,0.55,0.65,0.1,,0.1,,,pool:borderline_fake_128
The Silent Cartographer,books,2,0.925,0.875,-0.05,CONFIRMED-REAL; HIGH-RISK: short title,0.1,real,Real and well-known level in Halo: Combat Evolved (2001).,pool:borderline_fake_103 v3:borderline_fake_10
New Westbourne,places,1,0.95,1.0,0.05,HIGH-RISK: short toponym,0.05,,,v3:borderline_fake_0
Penderwych Narrows,places,1,0.0,0.05,0.05,HIGH-RISK: short toponym,0.05,,,pool:borderline_fake_29
Professor Elena Kowalski,people,1,0.0,0.05,0.05,UNVERIFIABLE-AS-FAKE: human name,0.05,,,v3:borderline_fake_5
Professor Ingrid Halvorsen-Bjork,people,1,0.0,0.05,0.05,UNVERIFIABLE-AS-FAKE: human name,0.05,,,pool:borderline_fake_30
The Crystal Highlands,places,1,0.95,1.0,0.05,HIGH-RISK: short toponym,0.05,,,pool:borderline_fake_17
"After the Treaty: Germany, Memory, and the Weight of 1919",books,1,1.0,1.0,0.0,,0.0,,,pool:borderline_fake_45
Ambassador Fatima Al-Rashidi,people,1,0.0,0.0,0.0,UNVERIFIABLE-AS-FAKE: human name,0.0,,,pool:borderline_fake_121
Dr. Michael Hartwell,people,1,0.0,0.0,0.0,UNVERIFIABLE-AS-FAKE: human name,0.0,,,v3:borderline_fake_30
